red dot,Z distance (cm),Left (cm),Right (cm)
0,0,320.04,43.18
1,15.24,43.18,172.72
2,30.48,43.18,172.72
3,45.72,43.18,172.72
4,60.96,43.18,172.72
5,76.2,284.48,172.72
6,91.44,299.72,172.72
7,106.68,297.18,172.72
8,121.92,302.26,132.08
9,137.16,297.18,132.08
10,152.4,304.8,132.08
11,167.64,289.56,101.6
12,182.88,294.64,101.6
13,198.12,289.56,111.76
14,213.36,292.1,111.76
15,228.6,292.1,114.3
16,243.84,279.4,147.32
17,259.08,279.4,147.32
18,274.32,350.52,147.32
19,289.56,350.52,147.32
20,304.8,350.52,147.32
21,320.04,350.52,147.32
22,335.28,350.52,147.32
23,350.52,350.52,147.32
24,365.76,350.52,106.68
25,381,350.52,106.68
26,396.24,350.52,147.32
27,411.48,350.52,147.32
28,426.72,350.52,147.32
29,441.96,350.52,147.32
30,457.2,30.48,147.32
31,472.44,30.48,147.32
32,487.68,30.48,147.32
33,502.92,30.48,109.22
34,518.16,30.48,109.22
35,533.4,30.48,109.22
36,548.64,30.48,109.22
37,563.88,30.48,121.92
38,579.12,30.48,121.92
39,594.36,30.48,121.92
40,609.6,125.23,121.92
41,624.84,322.58,162
42,640.08,340.36,162
43,655.32,342.9,162
44,670.56,284.48,162
45,685.8,284.48,162
46,701.04,284.48,162
47,716.28,280,162
48,731.52,280,162
49,746.76,246,120
50,762,275,120
51,777.24,240,162
52,792.48,250,162
53,807.72,250,162
54,822.96,250,162
55,838.2,264,162
56,853.44,250,162
57,868.68,250,100
58,883.92,190,100
59,899.16,267,100
60,914.4,257,119
61,929.64,147,190
62,944.88,44,147
63,960.12,44,147
64,975.36,44,147
65,990.6,50,147
66,1005.84,221,147
67,1021.08,221,147
68,1036.32,221,147
69,1051.56,221,77
70,1066.8,221,77
71,1082.04,221,77
72,1097.28,392,71
73,1112.52,392,115
74,1127.76,392,115
75,1143,392,115
76,1158.24,392,115
77,1173.48,392,115
78,1188.72,392,115
79,1203.96,240,115
